 ,address,city,floor,id,latitude,longitude,price,rooms,sq,year
72,Wola Mir闚 Srebrna,Warszawa,9,15326,52.2270648,20.9879443,519000,2,35.5,1963
73,Praga-Po逝dnie Saska K瘼a Mi璠zynarodowa,Warszawa,1,18213,52.2333644,21.0678467,515000,2,37.5,1970
74,Bia這喚ka,Warszawa,2,15659,52.3196649,21.0211773,460000,3,65,2019
75,Praga-Po逝dnie Grochowska,Warszawa,4,7850,52.2497745,21.1068857,480000,2,43.9,1970
76,Wilan闚 ul. Adama Branickiego,Warszawa,0,15754,52.154572,21.0706211,1388000,3,110.8,2015
77,Praga-Po逝dnie,Warszawa,9,16147,52.2373961,21.0712578,699000,2,55.2,2012
78,鏚mieie ul. Grzybowska,Warszawa,6,17600,52.2357458,20.9937207,430000,2,28,1980
79,W這chy,Warszawa,4,11572,52.1861093,20.9484377,550000,3,49,1971
80,Je篡ce,Poznan,1,1203,52.413045,16.9022122,289000,2,37.56,1949
81,Bia這喚ka K靖y Grodziskie,Warszawa,1,10910,52.3246245,21.0547602,393000,3,53,2021
82,Podg鏎ze ul. Koszykarska,Krakow,2,22169,50.0498929,19.9906026,543558,3,53,2021
83,Praga-Po逝dnie Goc豉w ul. gen. Tadeusza Bora-Komorowskiego,Warszawa,1,6918,52.2319581,21.0067249,630000,2,43.89,2020
84,Nowe Miasto Rataje os. Piastowskie,Poznan,10,804,52.3958333,17.2202778,348900,2,48.4,1977
85,Nowe Miasto Komandoria,Poznan,0,1788,52.4122222,16.9694444,499000,2,60,2000
86,Wilda Przemys這wa,Poznan,1,250,52.392868,16.9194578,385000,2,59.1,1920
87,Bie瘸n闚-Prokocim Z這cie�,Krakow,4,21395,50.0225216,20.0481276,290829,2,37.77,2021
88,Nowa Huta Okulickiego,Krakow,1,21713,50.087129,19.9950474,580000,3,62,2014
89,Mokot闚,Warszawa,7,12413,52.1939874,21.0457809,916860,3,65,2018
90,Bia這喚ka,Warszawa,2,11586,52.3196649,21.0211773,659000,4,75.3,2017
91,Stare Miasto Miodowa,Krakow,3,25196,50.05278,19.9447455,985000,3,53,1920
92,ma這polskie,Krakow,3,18338,50.0619474,19.9368564,429000,2,46.69,2021
93,Bie瘸n闚-Prokocim Bie瘸n闚,Krakow,4,26721,50.0128958,20.0258584,372154,3,50.98,2021
94,Podg鏎ze Duchackie Wola Duchacka,Krakow,5,22257,50.0146222,19.953758,546910,3,60.1,2021
95,Bronowice Sta鎍zyka,Krakow,1,29033,50.0788285,19.8942504,302111.2,1,29.33,2021
96,Wilan闚 Sarmacka,Warszawa,1,6291,52.1656517,21.0767961,1250000,3,94.83,2007
97,Mistrzejowice,Krakow,1,27576,50.09742625,20.00960263,502374,4,66.12,2020
98,Ursyn闚,Warszawa,2,6443,52.141039,21.0323214,875000,3,72,2001
99,皋liborz Rydygiera,Warszawa,1,11601,52.2590164,20.9919642,518100,1,31.4,2020
100,Mokot闚 Sielce Aleksandra Gierymskiego,Warszawa,1,8348,52.1988937,21.0358363,350000,2,33.18,1980
101,Pr鉅nik Bia造 Henryka Pacho雟kiego,Krakow,5,20534,50.0949773,19.92040549,418362,3,46.94,2021
102,Nowe Miasto Malta ul. Katowicka,Poznan,3,5820,52.3973449,16.9619394,326705,2,34.39,2022
103,Ursyn闚 Wycz馧ki ul. K這bucka,Warszawa,3,6270,52.1599734,20.99091619,840000,3,66,2018
104,Ursus,Warszawa,2,13586,52.1960985,20.8828989,799990,3,77.75,2007
105,Nowe Miasto Malta ul. Katowicka,Poznan,4,5079,52.3973449,16.9619394,308750,2,32.5,2022
106,Grunwald ul. Artura Grottgera,Poznan,1,4000,52.4013241,16.8972699,499999,2,63,1935
107,Pr鉅nik Czerwony,Krakow,2,21409,50.0859419,19.96660061,510000,3,52.83,1980
108,Bielany,Warszawa,10,16061,52.2776126,20.9472054,539000,3,51,1972
109,Bia這喚ka ul. Miko豉ja Tr鉉y,Warszawa,1,8399,52.2319581,21.0067249,401000,2,48,2020
110,ζgiewniki-Borek Fa喚cki Zakopia雟ka,Krakow,1,28507,50.0230861,19.9337391,619000,4,88.3,1911
111,D瑿niki Ruczaj Chmieleniec,Krakow,1,29709,50.0204807,19.8980137,529900,2,54,2007
112,Praga-Po逝dnie Goc豉w,Warszawa,9,16684,52.2286331,21.1065722,565000,3,65,1980
113,Je篡ce Podolany,Poznan,3,632,52.456781,16.887939,289000,2,29.17,2020
114,Wola,Warszawa,6,16651,52.2362379,20.9547815,1930000,5,120,2020
115,Pr鉅nik Bia造 J霩efa Che軛o雟kiego,Krakow,1,25490,50.0863097,19.9139884,440000,2,48.4,2008
116,Bie瘸n闚-Prokocim,Krakow,0,28245,50.01706235,20.02299186,498312,4,61.52,2021
117,Wilan闚 Piechoty ζnowej,Warszawa,1,9761,52.1728323,21.0851058,4150000,6,257.92,2020
118,Wola Czyste,Warszawa,1,12591,52.2200627,20.9652859,1169000,4,69.28,2018
119,Pr鉅nik Czerwony Reduta,Krakow,3,18405,50.1609054,19.74308913,680000,3,61.01,2017
120,Mistrzejowice ul. Piasta Ko這dzieja,Krakow,6,28349,50.0986433,20.0132206,756284,4,87.94,2020
121,Ursyn闚 ul. K這bucka,Warszawa,1,12867,52.1599734,20.99091619,495000,2,42.9,2020
122,Stare Miasto,Krakow,4,22172,50.0590398,19.9371683,399000,1,24.5,1930
123,Targ闚ek,Warszawa,9,11585,52.2751918,21.0580854,315000,1,30.5,1973
124,Nowa Huta Czy篡ny Nowohucka 46,Krakow,1,30171,50.0558029,19.9993305,305370,1,26.1,2022
125,Podg鏎ze Duchackie Wola Duchacka Henryka Kamie雟kiego,Krakow,7,20826,50.0288704,19.9568753,369000,2,38.86,2021
126,Wilda,Poznan,3,1124,52.3897748,16.9174381,435000,1,38,2020
127,Praga-P馧noc Z鉉kowska,Warszawa,5,8609,52.2548127,21.0478273,1150000,3,79,2019
128,Ursus Kr鏊闚 Polskich,Warszawa,0,13657,52.24932145,20.99317362,569000,3,63.3,2005
129,鏚mieie,Warszawa,10,13009,52.2328098,21.019067,9506700,5,271.6,2021
130,Targ闚ek Turmoncka,Warszawa,0,12528,52.2968599,21.0366559,450000,3,47.5,1973
131,Krowodrza Stara Krowodrza,Krakow,2,21343,50.0788515,19.928968,785000,3,49.41,2019
132,Grunwald ul. Budziszy雟ka,Poznan,0,1764,52.3932361,16.8411942,503690,3,60.25,2021
133,Stare Miasto Pi靖kowo,Poznan,4,372,52.4006632,16.91973259,479000,3,67.3,1980
134,Mokot闚 ul. Wygl璠owska,Warszawa,1,7746,52.1950111,20.9852946,1228000,3,78.6,2006
135,Nowe Miasto Malta ul. Katowicka,Poznan,1,5694,52.3973449,16.9619394,470160,2,58.77,2022
136,Podg鏎ze Duchackie Walerego S豉wka,Krakow,6,24119,50.0242313,19.959569,419000,2,44.26,2020
137,Mokot闚 Aleja Lotnik闚,Warszawa,4,8499,52.2161447,21.00928852,545000,2,43,1975
138,Stare Miasto Naramowice,Poznan,1,654,52.4496489,16.9494082,199000,1,25,2021
139,Podg鏎ze P豉sz闚,Krakow,1,24086,50.0345327,19.9754459,523000,3,65.38,2022
140,Bie瘸n闚-Prokocim Republiki Korczakowskiej,Krakow,6,24302,50.0163919,20.0008638,619000,3,62.5,2014
141,Podg鏎ze Duchackie Wola Duchacka Adama Bochenka,Krakow,0,27521,50.0127186,19.9775244,319000,2,35.41,2021
142,Pr鉅nik Bia造 G鏎ka Narodowa abp. Zygmunta Szcz瘰nego Feli雟kiego,Krakow,4,27631,50.1003474,19.9684566,519000,2,55.67,2014
143,Mokot闚 Sadyba Jana III Sobieskiego,Warszawa,4,8180,52.2174171,21.0354469,955241,4,82,2021
144,Bia這喚ka Nowodwory,Warszawa,1,14817,52.35123,20.9444889,380000,2,38.7,2001
145,Pr鉅nik Bia造 Stefana Banacha,Krakow,1,20790,50.1015333,19.9640995,528381,3,57.9,2021
146,ma這polskie,Krakow,9,23132,50.0619474,19.9368564,532350,3,68.25,2018
147,Je篡ce ul. . Wawrzy鎍a 11,Poznan,5,5042,52.4201252,16.8956979,905951.2,4,93.59,2022
148,鏚mieie,Warszawa,10,10155,52.2328098,21.019067,1650000,4,160,2000
149,Krowodrza Kazimierza Wielkiego,Krakow,1,21223,50.073573,19.9193678,630015,3,48.5,2020
150,Bielany ul. Josepha Conrada,Warszawa,2,16656,52.2725335,20.92966996,659000,4,68.7,1978
151,Nowa Huta Czy篡ny ul. So速ysowska,Krakow,3,22542,50.0605887,20.0240353,535200,3,55.75,2022
152,Nowa Huta Czy篡ny,Krakow,2,27385,50.0816349,20.01649071,295000,2,27,2019
153,Mokot闚 ul. Bia貫go D瑿u 1,Warszawa,2,7769,52.183924,21.042562,1469300,4,91.63,2021
154,D瑿niki Ruczaj dr. Jana Piltza,Krakow,4,20156,50.0076191,19.8888826,352644,2,35.27,2021
155,Je篡ce ul. . Wawrzy鎍a 11,Poznan,4,5045,52.4201252,16.8956979,551561.1,3,68.01,2022
156,Praga-P馧noc,Warszawa,2,16301,52.2648843,21.0273442,380000,1,30,1960
157,Podg鏎ze Walerego S豉wka,Krakow,1,24572,50.0242313,19.959569,749000,4,88.73,2020
158,W這chy Stare W這chy Czereiowa,Warszawa,2,16788,52.2319581,21.0067249,920000,3,81,2008
159,Stare Miasto Centrum,Poznan,3,1840,52.3601021,16.84983412,390000,1,40,2020
160,Podg鏎ze ul. dr. Jana Piltza,Krakow,2,20700,50.0076191,19.8888826,660000,3,67.21,2021
161,Mokot闚 MARINA ul. Rajska,Warszawa,1,6310,52.1923474,20.9893179,1404000,5,108.36,2007
162,Stare Miasto Naramowice ul. Czarnucha,Poznan,0,1028,52.4499763,16.9527562,442105.2,4,64.92,2022
163,D瑿niki Ruczaj,Krakow,1,22470,50.0230156,19.9083637,994220,5,139,2022
164,Grzeg鏎zki ul. Fabryczna,Krakow,4,19901,50.058444,19.9702351,518665,1,35.77,2021
165,Ursyn闚 K這bucka,Warszawa,3,13985,52.1599734,20.99091619,810000,3,69.78,2015
166,Targ闚ek,Warszawa,5,14311,52.2751918,21.0580854,480000,2,50.7,1989
167,Nowa Huta Czy篡ny os. Z這tej Jesieni,Krakow,2,20578,50.0921707,20.0255051,335000,1,38,1976
168,Wola Odolany,Warszawa,10,12407,52.2143854,20.9478636,959373,3,74.37,2021
169,Targ闚ek Br鏚no Piotra Wysockiego,Warszawa,9,11312,52.2900258,21.0300729,315000,1,30.5,1974
170,Praga-Po逝dnie ul. ㄆkowska 31,Warszawa,7,11032,52.23792595,21.09824681,649000,3,71.5,1987
171,Wola ul. Marcina Kasprzaka,Warszawa,10,6814,52.22729845,20.95301421,360000,1,31,2021
172,Wawer Falenica,Warszawa,1,6642,52.1620483,21.2106772,629000,5,127.16,2020
173,Ochota,Warszawa,3,9397,52.212225,20.9726299,328500,2,24,1970
174,Grunwald ζzarz Marcina Kasprzaka,Poznan,0,1022,52.3886627,16.8908544,534900,3,60.99,1960
175,Mistrzejowice ul. Piasta Ko這dzieja,Krakow,3,23342,50.0986433,20.0132206,409530,2,48.18,2022
176,Pr鉅nik Bia造 Dobrego Pasterza,Krakow,2,29450,50.08854595,19.95841912,610000,2,45,2019
177,Ochota ul. M靖wicka,Warszawa,1,13436,52.2319581,21.0067249,1250000,4,94.4,2019
178,Nowa Huta Czy篡ny Nowohucka 46,Krakow,2,30147,50.0558029,19.9993305,468966,3,49.89,2022
179,Pr鉅nik Czerwony Marka Eminowicza,Krakow,1,25162,50.0868616,19.9696987,1045000,4,200,1984
180,Wzg鏎za Krzes豉wickie ul.Gustawa Morcinka,Krakow,1,26744,50.1047809,20.0362743,436779,4,69.33,2022
181,Bielany M這ciny Lekka,Warszawa,7,12535,52.2861129,20.9272115,745000,2,48.94,2020
182,Nowe Miasto Zawady Studzienna,Poznan,3,1750,52.4205511,16.9649872,489207,2,64.15,2021
183,Bie瘸n闚-Prokocim Bie瘸n闚 Opalowa,Krakow,0,19094,50.021354,20.0519146,275855,2,44.5,2023
184,Grzeg鏎zki ul. Fabryczna,Krakow,4,28851,50.058444,19.9702351,1026066,3,83.42,2021
185,Wola ul. J霩efa Bema,Warszawa,4,13910,52.2287779,20.95956983,849000,3,84,2003
186,Grunwald G鏎czyn Jakuba Krauthofera,Poznan,0,4890,52.386959,16.89086747,265900,1,35.51,2021
187,Mokot闚 ul. Jana III Sobieskiego,Warszawa,8,16426,52.1904607,21.0467831,393000,2,31,1980
188,Bielany ul. Rudzka 5,Warszawa,5,7636,52.27851165,20.9734368,676300,2,52.89,2021
189,Bronowice ul. Bronowicka,Krakow,3,20422,50.0778251,19.90068099,596646,2,46.98,2022
190,Wola,Warszawa,1,13539,52.2362379,20.9547815,898261,4,91.8,2021
191,Pr鉅nik Bia造 Azory ul. Piotra Stachiewicza,Krakow,0,25603,50.0852974,19.9164193,315000,2,37,1968
192,Je篡ce Winiary ul. . Leonarda,Poznan,0,2747,52.4333637,16.91164347,390522,2,42.68,2020
193,ζgiewniki-Borek Fa喚cki Borek Fa喚cki 砰wiecka,Krakow,4,20893,50.014117,19.9179187,399000,3,45.5,2020
194,Stare Miasto Centrum,Poznan,3,1331,52.3601021,16.84983412,1108000,5,187.8,1904
195,Pr鉅nik Czerwony ul. Zenona Klemensiewicza,Krakow,1,26936,50.0814925,19.9500226,210000,1,13.3,2021
196,Praga-Po逝dnie,Warszawa,4,6574,52.2373961,21.0712578,720000,3,69,1970
197,Wilan闚 Sarmacka,Warszawa,1,10078,52.1656517,21.0767961,1150000,3,93.2,2009
198,鏚mieie ul. Grzybowska,Warszawa,6,13327,52.2357458,20.9937207,1299000,2,71.6,2004
199,皋liborz,Warszawa,0,13678,52.2675944,20.9796975,1150000,3,70.85,2016
200,Podg鏎ze Pana Tadeusza,Krakow,0,22388,50.0495539,19.9719694,466000,3,48.8,1970
201,D瑿niki Ruczaj,Krakow,1,27723,50.0230156,19.9083637,397992,2,43.26,2021
202,Je篡ce Stanis豉wa Szczepanowskiego,Poznan,1,3942,52.4188529,16.8976818,538802.56,3,71.26,2021
203,Pr鉅nik Bia造 Szymona Zimorowicza,Krakow,4,21165,50.0950503,19.9284425,465000,3,49.02,2020
204,Bie瘸n闚-Prokocim G鏎nik闚,Krakow,0,27099,50.021319,19.9953253,460000,2,46.3,2014
205,Nowa Huta Osiedle Urocze,Krakow,3,23702,50.0779373,20.0341341,350000,1,36.9,1956
206,Stare Miasto Winogrady,Poznan,0,124,52.4348647,16.9383531,455000,4,65,1980
207,Grzeg鏎zki Olsza,Krakow,7,21886,50.0789773,19.9605879,330000,2,36,1980
208,Wilan闚 Miasteczo Wilan闚 ul. Sarmacka,Warszawa,3,12870,52.1676858,21.0753396,1550000,4,119.48,2008
209,Wola,Warszawa,1,13511,52.2362379,20.9547815,1199000,3,70,2013
210,Bie瘸n闚-Prokocim ul. Mariana Domaga造,Krakow,4,28608,50.0219561,20.0509824,547470,4,71.1,2021
211,Podg鏎ze Stare Podg鏎ze ul. Nadwia雟ka,Krakow,6,19851,50.0469432,19.99715344,2300000,3,86.6,2016
212,Bielany al. Aleja W豉dys豉wa Reymonta,Warszawa,10,6351,52.2743857,20.9376719,599000,3,56,1975
213,Bie瘸n闚-Prokocim Z這cie� Z這cieniowa,Krakow,1,19689,50.0181408,20.0508626,611000,3,64,2018
214,鏚mieie 鏚mieie Po逝dniowe ul. Wilcza,Warszawa,4,11494,52.22519855,21.01792515,1159000,2,62,1936
215,Nowa Huta Czy篡ny So速ysowska,Krakow,5,25836,50.0605887,20.0240353,495000,3,63.28,2021
216,D瑿niki gen. Antoniego J霩efa Madali雟kiego,Krakow,3,18901,50.0527679,19.9282413,1574937,2,63,2019
217,Grunwald G鏎czyn ul. Romana Dmowskiego,Poznan,3,5460,52.3817991,16.8916385,418900,2,59.79,2021
218,Bie瘸n闚-Prokocim Bie瘸n闚 Agatowa,Krakow,4,20808,50.0225216,20.0481276,374344,2,51,2021
219,Wola Kolska 9,Warszawa,2,8869,52.2506604,20.9768777,538000,2,33.33,2019
220,D瑿niki ul. Sandomierska,Krakow,3,19149,50.0517401,19.9311178,944760,3,78.73,2015
221,Targ闚ek Trocka,Warszawa,2,14863,52.2753464,21.0554496,330000,1,36,1990
222,Stare Miasto Kazimierz,Krakow,1,19633,50.051855,19.9449466,1000000,3,78.7,1900
223,Mokot闚 Bokserska,Warszawa,5,13048,52.1696586,20.9970149,870000,3,90,2021
224,Wawer ul. Leicz闚ka,Warszawa,0,8101,52.2319581,21.0067249,729000,4,69.51,2020
225,Centrum,Warszawa,4,11458,52.2311577,21.0100632,769000,2,46.1,1966
226,D瑿niki Stare D瑿niki ul. Praska,Krakow,2,19166,50.0462081,19.9106477,479000,2,51.5,1950
227,Ursus ul. Posag 7 Panien,Warszawa,1,9480,52.2059446,20.8852777,409000,3,49.5,2021
228,Targ闚ek,Warszawa,1,18275,52.2751918,21.0580854,580000,4,60,1980
229,Nowa Huta Osiedle Sp馧dzielcze,Krakow,2,22847,50.0777259,20.0272257,265000,2,32.6,1968
230,Podg鏎ze P豉sz闚 Lipska,Krakow,1,23005,50.0454593,20.0002025,448810,3,48.52,2021
231,Pr鉅nik Czerwony M造雟ka-Boczna,Krakow,4,28319,50.0831155,19.9737526,350000,2,37,1960
232,Mokot闚 ul. Domaniewska 34B,Warszawa,7,9197,52.1839266,21.008725,721600,2,47.62,2022
233,鏚mieie Powie al. 3 Maja,Warszawa,5,17086,52.2346393,21.0355145,744000,2,59.59,1931
234,Zwierzyniec Salwator Kasztela雟ka,Krakow,1,21540,50.0574103,19.9133138,451375,1,28.75,2021
235,Mokot闚,Warszawa,1,14065,52.1939874,21.0457809,620000,2,38.6,2020
236,Nowa Huta Czy篡ny,Krakow,2,30094,50.0816349,20.01649071,388080,2,39.6,2022
237,鏚mieie 鏚mieie Po逝dniowe,Warszawa,5,11109,52.2222528,21.0156995,2400000,5,144,1912
238,D瑿niki Kliny-Zacisze Spacerowa,Krakow,0,26309,50.0050868,19.8770531,433862,3,58.63,2020
239,鏚mieie ul. Franciszka雟ka,Warszawa,2,11894,52.2525583,21.0041604,1230000,2,59,2008
240,Bielany,Warszawa,0,7375,52.2776126,20.9472054,518700,2,39.9,2022
241,Podg鏎ze Fredry,Krakow,2,28477,50.0274066,19.94132055,410000,2,34.6,2020
242,Praga-Po逝dnie,Warszawa,1,12301,52.2373961,21.0712578,590016,3,52.68,2021
243,D瑿niki Ruczaj,Krakow,3,25108,50.0230156,19.9083637,850000,4,102,2005
244,Ochota ul. Mo責awska,Warszawa,4,6764,52.1999952,20.9795466,680000,1,36.84,2018
245,Pr鉅nik Bia造 G鏎ka Narodowa Stefana Banacha,Krakow,2,20465,50.1015333,19.9640995,462181.28,3,59.82,2021
246,Pr鉅nik Czerwony M造雟ka Boczna,Krakow,0,29617,50.0453141,19.9246883,362100,2,37,1978
247,皋liborz ul. Kaliny J璠rusik,Warszawa,0,12323,52.2571792,20.9629941,915000,3,61.19,2015
248,Wola O瘸rowska,Warszawa,4,14693,52.2465852,20.9546547,429000,1,31,1951
249,Mokot闚,Warszawa,6,12933,52.1939874,21.0457809,585000,3,42.94,1970
250,Bie瘸n闚-Prokocim Erazma Jerzmanowskiego,Krakow,1,23861,50.0096842,20.0092457,590000,4,56.42,2015
251,Mokot闚,Warszawa,0,17204,52.1939874,21.0457809,500000,3,56.3,1975
252,鏚mieie,Warszawa,2,7351,52.2328098,21.019067,899000,3,87,2000
253,Mokot闚,Warszawa,2,13259,52.1939874,21.0457809,575000,2,44.61,1912
254,Wola,Warszawa,10,10067,52.2362379,20.9547815,619000,4,54,2020
255,Podg鏎ze ul. Stanis豉wa Klimeckiego,Krakow,5,24853,50.0492242,19.9703793,569000,3,54.36,2021
256,Mokot闚 Parkowa,Warszawa,2,10254,51.1754685,18.393681,3800000,3,136,2010
257,D瑿niki Ruczaj dr. Jana Piltza,Krakow,2,26927,50.0076191,19.8888826,569000,3,50.7,2020
258,Nowa Huta Czy篡ny ul. Woic闚,Krakow,0,26133,50.0469432,19.99715344,706800,4,74.4,2022
